Area,Item,Year,Yield,Pest,Rainfall,Temp
Albania,Maize,1990,36613,121.0,1485,16.37
Albania,Potatoes,1990,66667,121.0,1485,16.37
Albania,"Rice, paddy",1990,23333,121.0,1485,16.37
Albania,Sorghum,1990,12500,121.0,1485,16.37
Albania,Soybeans,1990,7000,121.0,1485,16.37
Albania,Wheat,1990,30197,121.0,1485,16.37
Albania,Maize,1991,29068,121.0,1485,15.36
Albania,Potatoes,1991,77818,121.0,1485,15.36
Albania,"Rice, paddy",1991,28538,121.0,1485,15.36
Albania,Sorghum,1991,6667,121.0,1485,15.36
Albania,Soybeans,1991,6066,121.0,1485,15.36
Albania,Wheat,1991,20698,121.0,1485,15.36
Albania,Maize,1992,24876,121.0,1485,16.06
Albania,Potatoes,1992,82920,121.0,1485,16.06
Albania,"Rice, paddy",1992,40000,121.0,1485,16.06
Albania,Sorghum,1992,3747,121.0,1485,16.06
Albania,Soybeans,1992,4507,121.0,1485,16.06
Albania,Wheat,1992,24388,121.0,1485,16.06
Albania,Maize,1993,24185,121.0,1485,16.05
Albania,Potatoes,1993,98446,121.0,1485,16.05
Albania,"Rice, paddy",1993,41786,121.0,1485,16.05
Albania,Soybeans,1993,7998,121.0,1485,16.05
Albania,Wheat,1993,29976,121.0,1485,16.05
Albania,Maize,1994,25848,201.0,1485,16.96
Albania,Potatoes,1994,81404,201.0,1485,16.96
Albania,Soybeans,1994,7927,201.0,1485,16.96
Albania,Wheat,1994,24745,201.0,1485,16.96
Albania,Maize,1995,31300,251.0,1485,15.67
Albania,Potatoes,1995,111323,251.0,1485,15.67
Albania,Soybeans,1995,11791,251.0,1485,15.67
Albania,Wheat,1995,28703,251.0,1485,15.67
Albania,Maize,1996,32604,313.96,1485,15.64
Albania,Potatoes,1996,106138,313.96,1485,15.64
Albania,Soybeans,1996,15480,313.96,1485,15.64
Albania,Wheat,1996,21741,313.96,1485,15.64
Albania,Maize,1997,31862,376.93,1485,15.9
Albania,Potatoes,1997,109874,376.93,1485,15.9
Albania,Soybeans,1997,12768,376.93,1485,15.9
Albania,Wheat,1997,28516,376.93,1485,15.9
Albania,Maize,1998,33416,439.89,1485,16.27
Albania,Potatoes,1998,127212,439.89,1485,16.27
Albania,Soybeans,1998,14327,439.89,1485,16.27
Albania,Wheat,1998,28037,439.89,1485,16.27
Albania,Maize,1999,37455,502.86,1485,16.57
Albania,Potatoes,1999,142018,502.86,1485,16.57
